corporation,time_event_start_date,time_event_end_date,corporation_employment_tenure_job_title,corporation_employment_tenure_salary,person
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,薪酬与考核委员会委员, ,acfde430-16da-6bd2-562a-7ea4e56a9675
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,风险管理委员会委员, ,acfde430-16da-6bd2-562a-7ea4e56a9675
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2003-10-17,2008-12-17,副行长,2300000,cb2aefbc-b736-fa33-d3d0-3215d0880d96
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,风险管理委员会委员, ,d18b2311-c050-2b7d-afb4-a6069a8905cc
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,战略发展委员会委员, ,d18b2311-c050-2b7d-afb4-a6069a8905cc
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,提名委员会委员, ,83c72289-b978-d1ee-d1c6-9c7fde12867b
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,薪酬与考核委员会委员, ,83c72289-b978-d1ee-d1c6-9c7fde12867b
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,战略发展委员会委员, ,83c72289-b978-d1ee-d1c6-9c7fde12867b
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,审计与关联交易控制委员会委员, ,fbf74589-2c5e-be6e-c48f-95bb856efab3
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,战略发展委员会委员, ,64960578-489e-d44b-a331-0c94227b7914
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2005-04-23,风险管理委员会委员, ,52f936f2-2ce0-9d7c-9722-8331951db015
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2005-04-23,战略发展委员会召集人, ,52f936f2-2ce0-9d7c-9722-8331951db015
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,提名委员会委员, ,be59ee40-569a-7b50-77fb-8b19179015f7
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,薪酬与考核委员会委员, ,be59ee40-569a-7b50-77fb-8b19179015f7
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,审计与关联交易控制委员会召集人, ,be59ee40-569a-7b50-77fb-8b19179015f7
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,风险管理委员会委员, ,be59ee40-569a-7b50-77fb-8b19179015f7
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,提名委员会召集人, ,af542b22-dd3b-c9f9-825c-476c3230a3ca
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,薪酬与考核委员会召集人, ,af542b22-dd3b-c9f9-825c-476c3230a3ca
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,审计与关联交易控制委员会委员, ,af542b22-dd3b-c9f9-825c-476c3230a3ca
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,风险管理委员会召集人, ,af542b22-dd3b-c9f9-825c-476c3230a3ca
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2008-01-28,2010-05-25,首席执行官, ,af542b22-dd3b-c9f9-825c-476c3230a3ca
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,薪酬与考核委员会委员, ,d7f79fd6-a5cd-3674-d137-3a3c2554de2f
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2005-03-02,2007-12-18,战略发展委员会委员, ,d7f79fd6-a5cd-3674-d137-3a3c2554de2f
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2000-03-01,2010-12-29,副行长, ,5da5051a-19f8-1646-0af0-d19f52860c2d
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2010-10-13,2012-11-21,行长,7950000,0cd8a2b7-a417-c6a8-2793-377fe4bfbb4d
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2007-05-10,2010-05-25,行长,6920000,e3b5a911-f4b9-5a1c-f1bf-467d60d47809
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2010-05-25,2015-01-07,副行长,3772500,b4bf6b09-5d5c-7492-31d7-84e2c2fb7794
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2010-05-25,2013-04-23,首席财务官,3772500,b4bf6b09-5d5c-7492-31d7-84e2c2fb7794
20eb81d3-58ea-eb17-23ed-d0916a83b0d4,2012-11-21,2016-10-20,行长,5111300,2b7c2439-3b88-c719-3c17-df9930396a69
